名字,价格,每平米价格,间数,面积,层号,年份,经纪人,地址
绿叶丽景福苑四室两厅145万带车位 122平一梯一户精装修,145万,11885元/m²,4室2厅,122m²,低层(共22层),2015年建造,孙灵海,丽景福苑                 开发区-开发区-南环西路
3659文联家属院，115平，精装，楼层好,85万,7391元/m²,3室2厅,115m²,中层(共6层),2009年建造,薛凤霞,文联家属院                 桃城-桃城-人民西路1581号
绿叶房产 盛世华庭 2室94平精装修 南北通透,77万,8191元/m²,2室2厅,94m²,中层(共6层),2010年建造,刘凯旋,盛世华庭                 桃城-桃城-榕花北大街
旭日优选1210五洲国际好楼层户型方正南北通透首付33万,118万,9516元/m²,3室2厅,124m²,中层(共28层),2014年建造,魏文轩,五洲国际官邸                 桃城-桃城-胜利西路
旭日优选1284翡翠华府次顶层温馨三居南北通透可贷款,115万,9200元/m²,3室2厅,125m²,高层(共18层),2014年建造,魏文轩,翡翠华府                 桃城-桃城-育才南大街
太*阳*城六期一楼带小院含车位和维修基金贷款29万吉房销售,108万,6835元/m²,3室2厅,158m²,低层(共11层),2017年建造,相春亮,东方太阳城                 桃城-桃城-翠微街299号
水榭花都3室2厅豪华装修10楼 观景房,158万,11285元/m²,3室2厅,140m²,中层(共17层),2016年建造,王伟,泰达水榭花都                 桃城-桃城-中心北大街
怡然城 凤凰城 2室1厅 毛坯 12楼 大庆路九中,78万,8764元/m²,2室1厅,89m²,中层(共18层),2017年建造,赵万桥,弘瀚凤凰城                 桃城-桃城-大庆东路
滨湖国际3室2厅   100平  21/33  首付34万,68万,6800元/m²,3室2厅,100m²,中层(共33层),2017年建造,丛丽英,滨湖国际                 桃城-桃城-红旗大街
绿叶优选 万和苑 精装修，采光好，老证过户费低,76.5万,8406元/m²,3室1厅,91m²,中层(共6层),2003年建造,尚岩,万和苑                 桃城-桃城-站前西街889号
绿叶 北斗星城御府精装现房，带小房，性价比超高！看房方便！,74.5万,9802元/m²,2室2厅,76m²,低层(共18层),2016年建造,修丽佳,北斗星城                 桃城-桃城-前进北大街
989太和小区3室2厅精装,83万,8736元/m²,3室2厅,95m²,低层(共6层),2010年建造,张新,太和小区                 桃城-桃城-京衡北大街
绿叶优选：泰华丽景福苑精装3室 带车位 小房 有证 急售,160万,13559元/m²,3室2厅,118m²,低层(共24层),2016年建造,牛占朝,丽景福苑                 开发区-开发区-南环西路
绿叶优选 牧马庄园 86平2居毛坯 有证 带地上小房,62万,7209元/m²,2室2厅,86m²,低层(共11层),2012年建造,张立新,牧马庄园                 桃城-桃城-京广线
邮政局家属楼  没有证   138平  六十五万  三室两厅,65万,5855元/m²,3室2厅,111m²,共5层,2002年建造,陈维维,瑞景新居                 冀州-冀州-昌成路19号
恒大城 豪华装修大三居 25楼 证齐,119.8万,11196元/m²,3室2厅,107m²,高层(共33层),2014年建造,张丽娟,恒大城                 开发区-开发区-顺兴街
高端楼盘，周边配套设施完善.,118万,9588元/m²,3室2厅,123m²,中层(共27层),2010年建造,赵文荣,五洲国际官邸                 桃城-桃城-胜利西路
高速口 万和靓景 新房 南北通透 首付超低 20万 看房方便,77万,8555元/m²,2室2厅,90m²,中层(共6层),2013年建造,代乐,万和靓景                 桃城-桃城-裕华东路358号
XB2350阳光花城127平3室2厅2卫5楼精装老证105万,105万,8267元/m²,3室2厅,127m²,高层(共6层),2006年建造,薛凤霞,阳光花城                 桃城-桃城-宝云大街899号
怡水园对面华兴小区96平三室两厅两卫带12平小房85万,85万,8854元/m²,3室2厅,96m²,高层(共11层),2013年建造,李岭岭,华兴小区                 开发区-开发区-新华西路
绿叶推 荐人民路泰华依云湾南宜居嘉园 南北通透 可改3室,76.8万,7680元/m²,2室2厅,100m²,中层(共6层),2012年建造,王猛,宜居嘉园                 桃城-桃城-人民东路
和平路育才街 万和苑 两室一厅 好楼层 有证 可贷款,78万,9512元/m²,2室1厅,82m²,低层(共6层),2009年建造,韩广海,万和苑                 桃城-桃城-站前西街889号
5194宝云街衡百国际附近南苑小区1楼3室2厅老证可贷款小房,79.6万,8378元/m²,3室2厅,95m²,低层(共6层),2010年建造,马烨,南苑小区                 开发区-开发区-人民西路
421高端社区 恒丰理想城 三室好楼层 可贷款 欲购从速,97万,8584元/m²,3室2厅,113m²,中层(共32层),2017年建造,杨瑞,恒丰理想城                 桃城-桃城-大庆西路
绿叶优选 恒大城 好楼层 精装2室 有证能贷款 有车位,105万,10937元/m²,2室2厅,96m²,中层(共33层),2015年建造,张立新,恒大城                 开发区-开发区-顺兴街
此房带车库，有房产证已满两年,36万,4186元/m²,3室1厅,86m²,高层(共6层),2011年建造,吴平,世纪花园                 枣强-枣强-裕华东街178号
领秀城首付低楼层好可以贷款，首付22万首付22万。,56万,4869元/m²,3室2厅,115m²,中层(共25层),2012年建造,黄硕,领秀城                 深州-深州-长江西路
绿叶优选 在水一方 带小房 全款更名 中间楼层 全阳精装！！,77.8万,8654元/m²,2室2厅,89m²,高层(共33层),2016年建造,李东辉,在水一方                 桃城-桃城-永兴东路
前进街小学附近丽景福苑15楼精装有证,108万,11868元/m²,2室1厅,91m²,中层(共23层),2010年建造,张丽娟,丽景福苑                 开发区-开发区-南环西路
路北鑫城佳苑 老证首付低 带小房,70万,7821元/m²,2室2厅,89m²,中层(共6层),2008年建造,刘丁,鑫城嘉苑                 桃城-桃城-大庆西路969号
中心街吉美对过鸿泰花园北区 3室 老证 带小房 4/6层,73.8万,6709元/m²,3室1厅,110m²,中层(共6层),2010年建造,魏春鸣,鸿泰花园(北区)                 桃城-桃城-招贤路5号
绿叶优选万和靓景90平3室老证可贷款有车库好楼层采光好78万,78万,8666元/m²,3室1厅,90m²,中层(共6层),2012年建造,张晓青,万和靓景                 桃城-桃城-裕华东路358号
恒大城 两居室专区 一站式选房 楼层价位自选,95万,10439元/m²,2室2厅,91m²,高层(共33层),2015年建造,史雷,恒大城                 开发区-开发区-顺兴街
绿叶优选北斗星城68平2室带小房车位装修有证可贷款急售67万,67万,9852元/m²,2室1厅,68m²,高层(共6层),2016年建造,张晓青,北斗星城                 桃城-桃城-前进北大街
滨湖国际两室两厅超低首付仅需18.5万包改名纯阳面,68.5万,7405元/m²,2室2厅,92m²,低层(共33层),2016年建造,郭天宇,滨湖国际                 桃城-桃城-红旗大街
395恒大地产 恒大城 三室大平精装 超好楼层 南北通透,143万,11000元/m²,3室2厅,130m²,高层(共30层),2015年建造,杨瑞,恒大城                 开发区-开发区-顺兴街
T347永兴路赵庄公寓57平2室5楼共13层带小房精装55万,55万,9649元/m²,2室1厅,57m²,中层(共13层),2013年建造,薛凤霞,赵庄公寓                 桃城-桃城-永兴西路288号
龙湖水岸准现房+三居室+户型好+能贷款+能改名,45.5万,4642元/m²,3室2厅,98m²,中层(共17层),2017年建造,单会立,龙湖水岸                 枣强-枣强-中华东街15号
62万丽景蓝湾商品房不是回迁+包改名,62万,5000元/m²,3室2厅,124m²,高层(共18层),2018年建造,张玉涛,泰华丽景蓝湾                 枣强-枣强-新华西街
旭日优推丽景名都6楼电梯非顶 108平2室2厅毛坯,115万,10648元/m²,2室2厅,108m²,中层(共11层),2008年建造,李春光,丽景名都                 开发区-开发区-胜利西路1188号
金域蓝湾高档小区125平豪华装修156.8万急售,156.8万,12544元/m²,3室2厅,125m²,中层(共26层),2013年建造,孙玉茹,金域蓝湾                 桃城-桃城-永兴东路
怡然城天鸿尚都 3室2厅 老证 大庆路小学 衡水二中 九中,118万,10000元/m²,3室2厅,118m²,高层(共18层),2013年建造,赵万桥,天鸿尚都                 桃城-桃城-利民路
太1阳城 丽景名郡 老证 泰华房子 电梯洋房 随时看房,130万,10156元/m²,3室2厅,128m²,中层(共7层),2010年建造,代乐,丽景名郡                 桃城-桃城-京衡南大街
绿叶优选    北斗星城  紧邻高铁,67万,9852元/m²,2室1厅,68m²,高层(共6层),2016年建造,李雄伟,北斗星城                 桃城-桃城-前进北大街
德仁168达观天下3室2厅2卫128.36平带车库精装修,119万,9270元/m²,3室2厅,128m²,中层(共18层),2014年建造,孙鹏飞,达观天下                 桃城-桃城-永兴西路
诚泰推选 橄榄城 两室两厅一卫 带小房,95.8万,9876元/m²,2室2厅,97m²,高层(共24层),2012年建造,王岩,橄榄城                 桃城-桃城-胜利西路
衡百国际附近怡水园3室2厅 老证 16/17层 过户费低,110.8万,10165元/m²,3室2厅,109m²,高层(共17层),2010年建造,魏春鸣,怡水园                 桃城-桃城-和平路
广厦上城 三室两厅一卫 精装 有证可贷款 南北通透,118万,9440元/m²,3室2厅,125m²,低层(共26层),2014年建造,高玲玲,广厦上城                 桃城-桃城-育才街
前进街泰华丽景名苑128平精装修130万,130万,10156元/m²,3室2厅,128m²,高层(共27层),2012年建造,魏世超,丽景名苑                 桃城-桃城-前进南大街468号
绿叶北斗星城御府三3室2厅有证可贷带33平车库60平空中小院,125万,12327元/m²,3室2厅,101m²,低层(共18层),2013年建造,张晓青,北斗星城                 桃城-桃城-前进北大街
绿叶优选 通衢苑 证齐带小房 首付15万 急售价格可议！！,82万,9111元/m²,2室2厅,90m²,低层(共30层),2015年建造,李东辉,通衢苑                 桃城-桃城-榕花北大街
绿叶优选，市中心 领世郡 设施齐全，环境好缺钱急售。,97万,10731元/m²,2室2厅,90m²,高层(共28层),2013年建造,王海博,领世郡                 桃城-桃城-报社街
397怡然城对面 通衢苑 超好楼层 小区环境好 采光相当好,95万,9500元/m²,2室2厅,100m²,高层(共17层),2013年建造,杨瑞,通衢苑                 桃城-桃城-榕花北大街
上海公馆四期3室2厅  110平  8/23  首付28万,91万,8272元/m²,3室2厅,110m²,中层(共23层),2017年建造,丛丽英,上海公馆                 桃城-桃城-大庆西路
绿叶优选达观天下精装两居实际面积90平老证过户费低！南北通透,55万,8841元/m²,2室2厅,62m²,高层(共6层),2015年建造,修丽佳,达观天下                 桃城-桃城-永兴西路
此房精装修，带车位并有地下大储藏间,63万,5040元/m²,3室2厅,125m²,高层(共17层),2015年建造,吴平,泰华丽景蓝湾                 枣强-枣强-新华西街
绿叶腾达家园 小三居90平72万老证带小房精装修位置好市中心,72万,8000元/m²,3室2厅,90m²,低层(共6层),2005年建造,孙灵海,腾达家园                 桃城-桃城-中心大街
格林家园四室两厅南北通透带车库老证可贷款可过户,125万,8196元/m²,4室2厅,152m²,中层(共6层),2004年建造,郭天宇,格林家园                 桃城-桃城-育才南大街
旭日优推 和平路酒厂家属院 3楼 85平 豪华装修,64万,7529元/m²,3室1厅,85m²,中层(共6层),2003年建造,李春光,酒厂住宅楼                 桃城-桃城-和平东路698号
绿叶推 荐河东东方太 阳城北晨曦园 门店 可贷款 随时看房,36万,7741元/m²,1室1厅,46m²,共2层,2017年建造,王猛,精信晨曦园                 桃城-桃城-胜利东路
泰华雅清苑3室2厅2卫 129平20/33 包改名园林式绿化,129万,10000元/m²,3室2厅,129m²,中层(共33层),2017年建造,丛丽英,"泰华雅清苑                 桃城-桃城-南环西路,近昌明南大街"
高档小区，一楼带小院，三室两厅两卫，带车位，带小房，证齐,225.9万,15579元/m²,3室2厅,145m²,低层(共24层),2011年建造,王文吉,天玺香颂                 桃城-桃城-南环西路
广厦家园三期 83平 1/6+1 精装 两室一厅 老证带小房,68.6万,8265元/m²,2室1厅,83m²,低层(共6层),2007年建造,路伟,广厦家园                 桃城-桃城-永兴西路888号
25和平家园牛佐小学对面 5/6 96平 32 精装修,74万,7708元/m²,3室2厅,96m²,高层(共6层),2012年建造,李春光,和平嘉园                 桃城-桃城-问津街
中和盛景，2楼，108平，95万 带车库20平，首付35万,95万,8796元/m²,3室2厅,108m²,低层(共11层),2017年建造,李岭岭,中和盛景                 桃城-桃城-中华南大街
绿叶推 荐和平路河东泰华依云湾 南北通透 商品房 随时看房,101万,9901元/m²,3室1厅,102m²,高层(共26层),2014年建造,王猛,依云湾                 桃城-桃城-和平东路
桃城区橄榄城99平精装修老证带9平小房带家具家电售价105万,105万,10659元/m²,2室2厅,98m²,低层(共18层),2014年建造,杜红梅,橄榄城                 桃城-桃城-胜利西路
怡然城天鸿尚都 3室2厅 老证 大庆路小学 衡水二中 九中,118万,10000元/m²,3室2厅,118m²,高层(共18层),2013年建造,赵万桥,天鸿尚都                 桃城-桃城-利民路
旭日优选盛世桃城2期次顶层精装两房拎包入住,98万,10425元/m²,2室2厅,94m²,高层(共28层),2014年建造,魏文轩,盛世桃城                 桃城-桃城-庆丰南街
首付15万，腾达新城，精装三室，低楼层，南北通透，赠小房,85万,7391元/m²,3室2厅,115m²,低层(共6层),2012年建造,王文吉,腾达新城                 桃城-桃城-永兴西路1568号
绿叶优选 阳光花城 南北大三居，老证带小房，看房方便,105万,8267元/m²,3室2厅,127m²,高层(共6层),2008年建造,尚岩,阳光花城                 桃城-桃城-宝云大街899号
406广厦家园二期 大平精装 南北通透 采光好 欲购从速,90万,7500元/m²,3室2厅,120m²,高层(共6层),2012年建造,杨瑞,广厦家园                 桃城-桃城-永兴西路888号
绿叶优选 盛世华庭13楼 南北通透 2室2厅1卫 证齐可贷款,84.8万,8926元/m²,2室2厅,95m²,高层(共18层),2010年建造,张立新,盛世华庭                 桃城-桃城-榕花北大街
诚泰推送 腾达新城 电梯房 13层精装 带小房 新证 纯阳面,73.6万,8363元/m²,2室2厅,88m²,中层(共26层),2014年建造,王岩,腾达新城                 桃城-桃城-永兴西路1568号
世纪名郡2室2厅  90平  包改名  首付30万 19楼,68万,7555元/m²,2室2厅,90m²,高层(共27层),2017年建造,丛丽英,世纪名城                 桃城-桃城-中华北大街
绿叶优选 恒大城 精装修 证齐可贷款 2室全阳 10600平,100万,10682元/m²,2室2厅,93m²,高层(共32层),2015年建造,李东辉,恒大城                 开发区-开发区-顺兴街
